LONGITUDE,LATITUDE,LABEL,LAYER,SYMBOL,KML_STYL
-80.1987712,25.8545923,15338,"""""","""""",""""""
-80.3125458,25.7074947,15339,"""""","""""",""""""
-80.5071708,25.5967936,15348,"""""","""""",""""""
-80.1321444,25.8852182,15351,"""""","""""",""""""
-80.1867449,25.7898733,15352,"""""","""""",""""""
-80.1830013,25.9844397,15355,"""""","""""",""""""
-80.134902,25.7683075,15356,"""""","""""",""""""
-80.4721075,25.4675136,15358,"""""","""""",""""""
-80.363011,25.7109381,15363,"""""","""""",""""""
-80.4609917,25.0776667,15365,"""""","""""",""""""
-80.3166775,25.769971,15378,"""""","""""",""""""
-80.2651589,25.6920839,15379,"""""","""""",""""""
-80.3114872,25.772482,15380,"""""","""""",""""""
-80.4752309,25.0595154,15381,"""""","""""",""""""
-80.2546167,25.70792,15385,"""""","""""",""""""
-80.3082188,25.7131197,15386,"""""","""""",""""""
-80.300917,25.7641063,15387,"""""","""""",""""""
-80.2586481,25.7292087,15391,"""""","""""",""""""
-80.1636251,25.6936305,15398,"""""","""""",""""""
-80.3470261,25.6726477,15402,"""""","""""",""""""
-80.3171063,25.6454857,15407,"""""","""""",""""""
-80.3161969,25.6465866,15407,"""""","""""",""""""
-80.3252386,25.6592634,15410,"""""","""""",""""""
-80.2890242,25.31702,15419,"""""","""""",""""""
-80.2767679,25.321205,15437,"""""","""""",""""""
-80.2770253,25.3212659,15437,"""""","""""",""""""
-81.061591,24.71855,15440,"""""","""""",""""""
-80.2582795,25.8458637,15441,"""""","""""",""""""
-80.257037,25.8786967,15442,"""""","""""",""""""
-80.4924675,25.0442834,15444,"""""","""""",""""""
-80.4761523,25.4453058,15446,"""""","""""",""""""
-80.4170783,25.6712821,15448,"""""","""""",""""""
-80.2871964,25.6691344,15449,"""""","""""",""""""
-80.2079665,25.8881843,15450,"""""","""""",""""""
-80.3773281,25.7137884,15452,"""""","""""",""""""
-80.2063152,25.7516338,15453,"""""","""""",""""""
-80.2768292,25.7582426,15455,"""""","""""",""""""
-80.2075445,26.0310475,15460,"""""","""""",""""""
-80.3099202,25.6807584,15462,"""""","""""",""""""
-80.310955,25.6806235,15463,"""""","""""",""""""
-80.3253494,25.6598855,15465,"""""","""""",""""""
-80.3251201,25.6604459,15465,"""""","""""",""""""
-80.3217818,25.6769683,15469,"""""","""""",""""""
-80.1917911,25.8173903,15470,"""""","""""",""""""
-80.3163056,25.884975,15476,"""""","""""",""""""
-80.4415761,25.526093,15477,"""""","""""",""""""
-80.1879503,25.8104279,15478,"""""","""""",""""""
-80.1886045,25.8106631,15478,"""""","""""",""""""
-80.188453,25.8107306,15478,"""""","""""",""""""
-80.2690741,25.7790474,15479,"""""","""""",""""""
-80.2903353,25.303577,15481,"""""","""""",""""""
-80.5033125,25.5927794,15482,"""""","""""",""""""
-80.308573,25.6179693,15486,"""""","""""",""""""
-80.3745705,25.7883378,15496,"""""","""""",""""""
-80.2730662,25.3180691,15500,"""""","""""",""""""
-80.3023149,25.8502442,15502,"""""","""""",""""""
-80.3139492,25.8838913,15503,"""""","""""",""""""
-80.3863305,25.5987438,15504,"""""","""""",""""""
-80.3246039,25.8228407,15505,"""""","""""",""""""
-80.2991691,25.8991684,15507.2,"""""","""""",""""""
-80.2990521,25.8993461,15507.2,"""""","""""",""""""
-80.2589959,25.7612733,15509,"""""","""""",""""""
-80.266548,25.3267656,15510,"""""","""""",""""""
-80.2662533,25.3268633,15510,"""""","""""",""""""
-81.0620584,24.7177074,15511,"""""","""""",""""""
-80.2655487,25.7829006,15512,"""""","""""",""""""
-80.2226016,25.7995532,15518,"""""","""""",""""""
-80.219919,25.7902032,15519,"""""","""""",""""""
-80.4319699,25.6901261,15521,"""""","""""",""""""
-80.3098143,25.6755702,15524,"""""","""""",""""""
-80.3104177,25.6777817,15524,"""""","""""",""""""
-80.3093985,25.6788414,15524,"""""","""""",""""""
-80.3729861,25.6727806,15526,"""""","""""",""""""
-80.3031211,25.666706,15527,"""""","""""",""""""
-80.1663465,25.6894849,15529,"""""","""""",""""""
-80.3105086,25.6680703,15532,"""""","""""",""""""
-80.2470015,25.8776917,15535,"""""","""""",""""""
-80.3762413,25.2905016,15540,"""""","""""",""""""
-80.3765207,25.290621,15540,"""""","""""",""""""
-80.2833435,25.7469417,15546,"""""","""""",""""""
-80.315946,25.6835693,15547,"""""","""""",""""""
-80.5081774,25.5987979,15548,"""""","""""",""""""
-80.3677972,25.8087828,15550,"""""","""""",""""""
-80.3680524,25.808771,15551,"""""","""""",""""""
-80.2020623,25.8104436,15552,"""""","""""",""""""
-80.2769627,25.8458704,15553,"""""","""""",""""""
-80.4227825,25.4810139,15554,"""""","""""",""""""
-80.4243107,25.4813101,15554,"""""","""""",""""""
-80.1323838,25.820944,15556,"""""","""""",""""""
-80.3284665,25.64774,15557,"""""","""""",""""""
-80.2656344,25.8089442,15558,"""""","""""",""""""
-80.2995944,25.8189086,15558,"""""","""""",""""""
-80.2816302,25.8211984,15559,"""""","""""",""""""
-80.3650996,25.6568992,15562,"""""","""""",""""""
-80.5502317,25.5144282,15563,"""""","""""",""""""
-80.3090661,25.6099101,15569,"""""","""""",""""""
-80.3047087,25.9118724,15571,"""""","""""",""""""
-80.3243256,25.2298947,15577,"""""","""""",""""""
-80.2889915,25.7615363,15579,"""""","""""",""""""
-80.2768612,25.8079746,15583,"""""","""""",""""""
-80.2787931,25.8080082,15583,"""""","""""",""""""
-80.3144623,25.665883,15584,"""""","""""",""""""
-80.1649692,25.9075313,15585,"""""","""""",""""""
-80.1649692,25.9075313,15585,"""""","""""",""""""
